reviewer_alias,review_id,slot_id,task_id,base_family,axis,split,profile,category,label,source_lines,event_indices,request_ids
Reviewer2,R-011C709E7D75F0,P-PX03_C3_EXCHANGE-ATTRIBUTE_COMBINATION-SEEN-glm5,PX03_C3_EXCHANGE-ATTRIBUTE_COMBINATION-SEEN,C3_EXCHANGE,ATTRIBUTE_COMBINATION,SEEN,glm5,F,NA,[1],"[0, 1, 9]","[1, 6]"
Reviewer2,R-047457C8A64D75,P-PX07_C7_ATTR_FLAT-ATTRIBUTE_COMBINATION-HELDOUT-glm47,PX07_C7_ATTR_FLAT-ATTRIBUTE_COMBINATION-HELDOUT,C7_ATTR_FLAT,ATTRIBUTE_COMBINATION,HELDOUT,glm47,F,V,"[147, 148]","[58, 59, 60, 61]","[32, 33]"
Reviewer2,R-09AF1B12F301F8,P-PX10_D2_EVENT-CONTROL_FLOW-HELDOUT-glm5,PX10_D2_EVENT-CONTROL_FLOW-HELDOUT,D2_EVENT,CONTROL_FLOW,HELDOUT,glm5,F,U,[6],[0],"[1, 22]"
Reviewer2,R-0D302E94032548,P-PX01_C1_BUFFER-CONTROL_FLOW-SEEN-glm5,PX01_C1_BUFFER-CONTROL_FLOW-SEEN,C1_BUFFER,CONTROL_FLOW,SEEN,glm5,F,NA,[5],[0],"[1, 15]"
Reviewer2,R-10B290A19DB057,P-PX13_D5_FRESHNESS-CONTROL_FLOW-HELDOUT-glm47,PX13_D5_FRESHNESS-CONTROL_FLOW-HELDOUT,D5_FRESHNESS,CONTROL_FLOW,HELDOUT,glm47,F,U,[4],[0],"[1, 4]"
Reviewer2,R-12380C0A2969E6,P-PX09_D1_OBSERVATION-CONTROL_FLOW-SEEN-glm5,PX09_D1_OBSERVATION-CONTROL_FLOW-SEEN,D1_OBSERVATION,CONTROL_FLOW,SEEN,glm5,F,V,[],"[28, 29]",[15]
Reviewer2,R-1361187D0C07C0,P-PX16_D8_ALLOCATION-CONTROL_FLOW-SEEN-glm5,PX16_D8_ALLOCATION-CONTROL_FLOW-SEEN,D8_ALLOCATION,CONTROL_FLOW,SEEN,glm5,F,V,[],"[5, 6]",[4]
Reviewer2,R-153553AE7703E8,P-PX16_D8_ALLOCATION-CONTROL_FLOW-HELDOUT-glm5,PX16_D8_ALLOCATION-CONTROL_FLOW-HELDOUT,D8_ALLOCATION,CONTROL_FLOW,HELDOUT,glm5,F,U,[42],"[0, 1, 9]","[1, 6]"
Reviewer2,R-1776D1F34FF524,P-PX14_D6_RESOURCE_SPAN-CONTROL_FLOW-HELDOUT-glm47,PX14_D6_RESOURCE_SPAN-CONTROL_FLOW-HELDOUT,D6_RESOURCE_SPAN,CONTROL_FLOW,HELDOUT,glm47,F,C,"[48, 50, 65]","[1, 2]",[2]
Reviewer2,R-1879E6DAA8A763,P-PX14_D6_RESOURCE_SPAN-ATTRIBUTE_COMBINATION-HELDOUT-glm47,PX14_D6_RESOURCE_SPAN-ATTRIBUTE_COMBINATION-HELDOUT,D6_RESOURCE_SPAN,ATTRIBUTE_COMBINATION,HELDOUT,glm47,F,NA,[4],"[0, 1, 44, 45]","[1, 24]"
Reviewer2,R-19CB6163752DA5,P-PX04_C4_ALLOCATION-CONTROL_FLOW-SEEN-glm5,PX04_C4_ALLOCATION-CONTROL_FLOW-SEEN,C4_ALLOCATION,CONTROL_FLOW,SEEN,glm5,F,V,"[40, 41, 43]","[9, 10]",[6]
Reviewer2,R-1A956DDD78F53C,P-PX11_D3_ATTR_FLAT-ATTRIBUTE_COMBINATION-SEEN-glm5,PX11_D3_ATTR_FLAT-ATTRIBUTE_COMBINATION-SEEN,D3_ATTR_FLAT,ATTRIBUTE_COMBINATION,SEEN,glm5,F,V,"[57, 58]","[48, 49, 50, 51]","[27, 28]"
Reviewer2,R-1B231F4F7148EE,P-PX07_C7_ATTR_FLAT-ATTRIBUTE_COMBINATION-HELDOUT-glm5,PX07_C7_ATTR_FLAT-ATTRIBUTE_COMBINATION-HELDOUT,C7_ATTR_FLAT,ATTRIBUTE_COMBINATION,HELDOUT,glm5,F,U,[4],"[0, 1, 26, 27]","[1, 16]"
Reviewer2,R-20A0397BE3EC92,P-PX05_C5_INDEPENDENT-CONTROL_FLOW-SEEN-glm5,PX05_C5_INDEPENDENT-CONTROL_FLOW-SEEN,C5_INDEPENDENT,CONTROL_FLOW,SEEN,glm5,F,NA,[1],"[0, 23]","[1, 13]"
Reviewer2,R-219DC6B16874DC,P-PX16_D8_ALLOCATION-CONTROL_FLOW-SEEN-glm47,PX16_D8_ALLOCATION-CONTROL_FLOW-SEEN,D8_ALLOCATION,CONTROL_FLOW,SEEN,glm47,F,C,"[24, 46, 57]","[0, 1, 2, 3, 9, 10]","[1, 2, 6]"
Reviewer2,R-227FA888034B65,P-PX15_D7_BUFFER_PREFETCH-CONTROL_FLOW-SEEN-glm47,PX15_D7_BUFFER_PREFETCH-CONTROL_FLOW-SEEN,D7_BUFFER_PREFETCH,CONTROL_FLOW,SEEN,glm47,F,NA,[4],[0],"[1, 17]"
Reviewer2,R-23BB4FA1BB39BA,P-PX14_D6_RESOURCE_SPAN-ATTRIBUTE_COMBINATION-SEEN-glm5,PX14_D6_RESOURCE_SPAN-ATTRIBUTE_COMBINATION-SEEN,D6_RESOURCE_SPAN,ATTRIBUTE_COMBINATION,SEEN,glm5,F,NA,[44],"[0, 1, 47]","[1, 25]"
Reviewer2,R-24AAF24987087A,P-PX05_C5_INDEPENDENT-ATTRIBUTE_COMBINATION-HELDOUT-glm47,PX05_C5_INDEPENDENT-ATTRIBUTE_COMBINATION-HELDOUT,C5_INDEPENDENT,ATTRIBUTE_COMBINATION,HELDOUT,glm47,F,NA,[4],"[0, 1, 26, 27]","[1, 15]"
Reviewer2,R-25ACF5E1D0C792,P-PX16_D8_ALLOCATION-ATTRIBUTE_COMBINATION-SEEN-glm47,PX16_D8_ALLOCATION-ATTRIBUTE_COMBINATION-SEEN,D8_ALLOCATION,ATTRIBUTE_COMBINATION,SEEN,glm47,F,C,"[29, 71, 93]","[7, 8, 9, 10, 13, 14]","[5, 6, 8]"
Reviewer2,R-29BBE280370E68,P-PX03_C3_EXCHANGE-CONTROL_FLOW-SEEN-glm47,PX03_C3_EXCHANGE-CONTROL_FLOW-SEEN,C3_EXCHANGE,CONTROL_FLOW,SEEN,glm47,F,NA,[4],"[0, 14]","[1, 9]"
Reviewer2,R-2D2632E5086D62,P-PX15_D7_BUFFER_PREFETCH-ATTRIBUTE_COMBINATION-SEEN-glm5,PX15_D7_BUFFER_PREFETCH-ATTRIBUTE_COMBINATION-SEEN,D7_BUFFER_PREFETCH,ATTRIBUTE_COMBINATION,SEEN,glm5,F,NA,[136],"[0, 1, 22, 23]","[1, 13]"
